,Pdb Code
1808,6P9X
1809,6PB1
1810,7TRY
1811,6P9Y
1812,6LPB
1813,6M1I
1814,4L6R
1815,5EE7
1816,5NX2
1817,5XEZ
1818,6B3J
1819,5YQZ
1820,6LMK
1821,6WHC
1822,6WPW
1823,7V35
1824,5VAI
1825,5VEW
1826,6KJV
1827,6ORV
1828,6LN2
1829,7C2E
1830,6VCB
1831,6X18
1832,6XOX
1833,7KI0
1834,7LCK
1835,7DUR
1836,7RTB
1837,7LLY
1838,7S1M
1839,7FIM
1840,7X8R
1841,7S15
1842,7D68
1843,7DTY
1844,7FIY
1845,5UZ7
1846,6E3Y
1847,6NIY
1848,7KNT
1849,7TYF
1850,6NBF
1851,6FJ3
1852,7F16
1853,6UUN
1854,6UUS
1855,6WZG
1856,7D3S
1857,6VN7
1858,8E3Y
1859,7VQX
1860,7CZ5
