,cell_angle_alpha,cell_angle_beta,cell_angle_gamma,cell_length_a
112,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
179,90.0,90.0,120.0,104.25
307,90.0,90.0,90.0,37.86
432,90.0,134.06,90.0,69.66
487,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
481,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
422,90.0,90.0,90.0,109.035
233,90.0,106.8,90.0,36.856
311,90.0,90.0,90.0,106.93
164,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
136,90.0,90.62,90.0,151.19
197,90.0,104.95,90.0,159.73
258,90.0,90.0,90.0,170.303
232,90.0,102.07,90.0,114.05
115,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
120,90.0,90.0,90.0,93.564
349,90.0,90.0,90.0,82.123
224,90.0,90.0,120.0,111.8
402,90.0,90.0,90.0,107.55
397,90.0,90.0,90.0,60.51
127,116.13,109.67,97.02,46.7
285,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
411,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
107,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
370,90.0,90.0,90.0,85.32
325,90.0,90.0,120.0,171.55
133,90.0,90.0,90.0,129.854
452,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
44,90.0,90.0,90.0,110.78
460,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
65,90.0,90.0,90.0,62.9
283,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
85,90.0,90.0,90.0,87.797
242,90.0,90.0,90.0,212.042
186,90.0,90.0,120.0,117.9
383,90.0,90.0,90.0,31.142
159,90.0,90.0,90.0,81.211
12,90.0,90.0,90.0,102.15
35,90.0,90.0,90.0,133.871
28,90.0,115.21,90.0,147.107
170,90.0,90.0,90.0,81.894
142,90.0,118.94,90.0,193.31
398,100.8,90.37,109.94,46.951
342,90.0,90.0,120.0,99.09
221,90.0,90.0,90.0,131.89
95,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
51,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
240,90.0,96.29,90.0,143.26
484,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
378,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
178,90.0,90.0,120.0,104.3
41,90.0,90.0,90.0,110.78
498,90.0,93.33,90.0,112.115
421,90.0,90.0,90.0,49.15
206,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
282,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
254,90.0,97.76,90.0,62.103
412,90.0,90.0,120.0,118.492
4,90.0,90.0,90.0,98.87
256,90.0,90.0,120.0,150.169
448,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
100,90.0,90.0,90.0,70.008
226,90.0,90.0,120.0,88.343
429,90.0,90.0,90.0,106.549
213,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
171,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
98,90.0,90.0,120.0,175.258
292,90.0,95.79,90.0,52.009
215,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
61,90.0,90.0,90.0,156.882
47,90.0,90.0,90.0,154.322
32,90.0,90.0,120.0,95.099
267,90.0,90.0,90.0,73.9
327,90.0,90.0,120.0,171.8
200,90.0,90.0,90.0,111.57
446,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
27,90.0,121.38,90.0,261.312
424,90.0,116.37,90.0,29.74
230,90.0,90.0,120.0,148.291
260,90.0,90.0,120.0,265.276
288,90.0,90.0,90.0,118.666
162,90.0,90.0,90.0,64.844
425,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
138,90.0,91.53,90.0,150.366
62,90.0,90.0,90.0,77.443
135,90.0,91.4,90.0,151.92
128,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
476,90.0,90.0,90.0,130.597
8,90.0,90.0,120.0,181.6
326,90.0,90.0,120.0,171.55
463,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
64,90.0,90.0,90.0,54.817
300,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
14,90.0,90.1,90.0,94.9
156,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
40,90.0,90.0,90.0,109.069
379,90.0,90.0,90.0,65.489
468,90.0,90.0,120.0,87.67
403,90.0,90.0,90.0,158.18
216,90.0,96.74,90.0,144.61
279,90.0,101.22,90.0,132.633
434,90.0,100.15,90.0,73.78
430,90.0,90.0,90.0,64.415
337,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
236,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
207,90.0,112.18,90.0,232.316
212,90.0,90.0,90.0,55.61
295,90.0,90.0,120.0,82.4
457,90.0,90.0,120.0,72.47
251,90.0,90.0,90.0,91.227
488,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
486,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
303,90.0,90.0,120.0,78.55
350,90.0,107.65,90.0,162.018
269,90.0,90.0,90.0,86.329
201,90.0,90.0,90.0,85.185
161,90.0,90.0,90.0,72.618
43,90.0,90.0,90.0,110.78
217,90.0,90.0,90.0,129.88
401,90.0,90.0,90.0,108.6
190,90.0,90.0,120.0,118.105
309,90.0,90.0,120.0,74.901
259,90.0,90.0,120.0,265.049
105,90.0,90.0,90.0,29.767
53,90.0,90.0,90.0,113.791
389,90.0,90.0,120.0,104.22
1,90.0,90.0,90.0,99.57
441,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
482,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
49,90.0,90.0,90.0,154.322
419,90.0,90.0,90.0,50.318
80,90.0,90.0,90.0,87.779
205,90.0,90.0,120.0,120.4
34,90.0,90.0,90.0,108.294
263,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
427,90.0,90.0,120.0,114.37
366,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
91,90.0,90.0,120.0,133.15
339,90.0,132.04,90.0,164.522
473,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
52,90.0,90.0,90.0,113.791
345,90.0,90.0,90.0,75.91
264,90.0,90.0,90.0,91.827
241,90.0,90.0,90.0,107.847
13,90.0,102.9,90.0,184.5
315,90.0,96.37,90.0,100.38
88,90.0,99.54,90.0,78.213
387,90.0,90.0,120.0,115.028
273,90.0,90.0,120.0,81.59
166,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
328,90.0,90.0,120.0,172.82
492,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
134,90.0,90.0,90.0,47.042
306,90.0,90.0,90.0,96.859
480,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
319,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
243,90.0,119.63,90.0,111.37
54,90.0,90.0,90.0,113.791
363,90.0,92.9,90.0,161.934
50,90.0,105.61,90.0,136.536
456,90.0,99.444,90.0,98.9
174,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
445,90.0,90.0,90.0,117.073
189,90.0,90.0,120.0,118.5
496,90.0,90.0,90.0,202.4
187,90.0,90.0,90.0,154.9
169,90.0,90.0,90.0,84.465
58,90.0,90.0,90.0,132.921
48,90.0,90.0,90.0,154.322
344,90.0,90.0,90.0,78.099
235,90.0,90.0,90.0,101.051
252,90.0,90.0,90.0,86.106
21,90.0,90.0,90.0,118.82
313,90.0,90.0,90.0,50.67
459,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
160,90.0,92.08,90.0,46.208
276,90.0,90.0,90.0,74.34
443,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
191,90.0,90.0,120.0,116.923
385,90.0,90.0,90.0,40.33
293,90.0,90.0,90.0,52.05
413,90.0,101.0,90.0,137.53
343,90.0,90.0,90.0,157.02
257,90.0,90.0,90.0,81.563
308,90.0,90.0,120.0,97.372
149,90.0,90.0,90.0,46.987
130,90.0,90.0,90.0,95.5
151,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
359,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
99,90.0,90.0,90.0,104.744
372,90.0,90.0,90.0,87.94
87,74.87,80.08,65.13,69.62
458,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
330,90.0,90.0,90.0,95.98
214,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
466,90.0,111.52,90.0,173.43
121,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
499,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
20,90.0,90.0,120.0,155.794
188,90.0,90.0,120.0,118.3
71,90.0,90.0,90.0,110.7
106,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
270,90.0,90.0,90.0,246.847
348,90.0,130.55,90.0,189.88
435,90.0,95.04,90.0,234.848
102,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
