,bibliography_year,cell_angle_gamma,cell_angle_beta,Resolution
407,2013,90.0,90.0,3.20
408,2013,90.0,90.0,2.91
409,2007,90.0,90.0,2.2
410,2008,120.0,90.0,3.3
411,2008,,,NMR Structure
412,2010,120.0,90.0,2.69
413,2011,90.0,101.0,1.5
414,2014,90.0,93.46,3.00
415,2018,90.0,90.0,2.2
416,2019,90.0,102.92,1.94
417,2011,90.0,90.0,1.80
418,2011,90.0,90.0,2.60
419,2011,90.0,90.0,1.65
420,2011,90.0,90.0,2.60
421,2012,90.0,90.0,2.00
422,2016,90.0,90.0,2.15
423,2011,118.2,92.86,1.55
424,2011,90.0,116.37,1.25
425,2011,,,NMR Structure
426,2011,120.0,90.0,1.50
427,2011,120.0,90.0,2.15
428,2011,90.0,111.41,1.80
429,2012,90.0,90.0,2.60
430,2018,90.0,90.0,2.50
431,2011,,,NMR structure
432,2011,90.0,134.06,1.80
433,2018,90.0,90.0,2.45
434,2011,90.0,100.15,2.90
435,2016,90.0,95.04,3.4
436,2018,104.03,105.84,2.60
437,2016,90.0,104.31,2.0
438,2016,90.0,90.0,2.90
439,2016,90.0,90.0,3.56
440,2016,120.0,90.0,4.9
441,2020,,,4.10
442,2020,90.0,102.61,3.79
443,2020,,,6.65
444,2021,,,4.10
445,2021,90.0,90.0,3.05
446,2021,,,3.03
447,2021,,,8.00
448,2022,,,3.60
449,2023,,,3.00
450,2008,,,NMR structure
451,2008,120.0,90.0,4
452,2020,,,NMR structure
453,2022,,,NMR structure
454,2008,90.0,99.25,2.3
455,2014,90.0,99.25,2.28
456,2020,90.0,99.444,3.12
457,2014,120.0,90.0,2.80
458,2017,,,6.8
459,2019,,,3.81
460,2019,,,3.06
461,2021,,,3.01
462,2020,,,3.40
463,2021,,,3.00
464,2022,,,2.53
465,2020,,,3.4
466,2014,90.0,111.52,2.80
467,2014,90.0,103.71,2.39
468,2014,120.0,90.0,2.34
469,2016,120.0,90.0,2.82
470,2016,90.0,96.11,2.75
471,2016,90.0,111.26,2.94
472,2016,90.0,90.0,2.99
473,2022,,,3.40
474,2017,98.51,98.33,2.75
475,2021,90.0,90.0,2.69
476,2020,90.0,90.0,3.04
477,2017,,,3.04
478,2017,,,3.26
479,2019,,,4.3
480,2021,,,2.70
481,2016,,,6.3
482,2020,,,3.10
483,2021,95.95,97.2,1.20
484,2021,,,3.60
485,2021,,,2.11
486,2018,,,4.2
487,2018,,,3.6
488,2019,,,5.15
489,2020,,,3.86
490,2023,,,4.05
491,2020,,,4.10
492,2020,,,3.50
493,2021,,,3.40
494,2021,,,3.56
495,2022,90.0,90.0,4.10
496,2009,90.0,90.0,2.60
497,2019,,,3.5
498,2023,90.0,93.33,2.80
499,2020,,,2.70
