,cell_angle_gamma,cell_length_a,cell_length_b,cell_length_c,cell_zpdb,citation_journal_volume,Resolution
279,90.0,132.633,130.494,56.261,4.0,26.0,2.5
280,90.0,69.18,77.95,50.93,4.0,5.0,2.50
281,90.0,65.1,79.7,50.2,4.0,124.0,1.60
282,110.0,132.38133333333334,158.746,104.24833333333333,15.0,8.0,NMR Structure
283,100.0,139.9523333333333,123.67233333333336,194.30266666666668,10.0,128.0,NMR structure
284,120.0,135.82566666666665,135.82566666666665,91.09966666666666,8.0,46.0,NMR Structure
285,100.0,118.44066666666667,157.98333333333335,99.81266666666666,11.333333333333334,385.0,NMR Structure
286,120.0,98.389,98.389,165.695,12.0,20.0,2.6
287,120.0,140.341,140.341,130.426,12.0,18.0,1.90
288,90.0,118.666,118.776,118.519,24.0,281.0,2.7
289,100.0,79.19866666666667,97.36433333333333,340.50533333333334,18.666666666666668,22.0,NMR structure
290,90.0,104.23766666666666,81.23100000000001,86.33566666666667,5.333333333333333,117.0,NMR structure
291,90.0,145.774,63.26,73.668,8.0,427.0,2.70
292,90.0,52.009,26.779,54.892,2.0,427.0,1.6
293,90.0,52.05,58.38,164.433,8.0,5.0,2.4
294,90.0,76.24433333333333,89.54966666666667,104.45766666666667,6.0,286.0,NMR Structure
295,120.0,82.4,82.4,206.3,18.0,154.33333333333334,1.9
296,96.34658914728683,108.64468733850129,125.35563049095607,149.69243927648577,12.335917312661499,144.7129840546697,NMR (DHPC micelles)
297,96.34658914728683,108.64468733850129,125.35563049095607,149.69243927648577,12.335917312661499,144.7129840546697,"NMR (DPC micelles, with H-bond constraints)"
298,90.0,148.10233333333335,144.036,134.082,10.666666666666666,135.0,NMR Structure
299,90.0,50.236,50.236,170.623,8.0,19.0,1.80
300,90.0,143.11533333333333,177.28300000000002,134.315,10.666666666666666,63.0,NMR structure
301,110.0,75.22833333333334,75.95800000000001,291.097,9.333333333333334,121.0,NMR structure
302,120.0,166.98,166.98,98.12,18.0,385.0,2.8
303,120.0,78.55,78.55,101.52,6.0,658.0,2.17
304,120.0,77.532,77.532,100.525,6.0,658.0,2.60
305,120.0,78.168,78.168,101.685,6.0,658.0,2.50
306,90.0,96.859,46.346,73.977,4.0,81.0,2.0
307,90.0,37.86,42.5,150.3,4.0,44.666666666666664,1.95
308,120.0,97.372,97.372,171.939,18.0,278.0,2.55
309,120.0,74.901,74.901,126.41,9.0,394.0,1.80
310,90.0,92.264,48.993,105.026,8.0,103.0,2.00
311,90.0,106.93,127.65,60.66,8.0,106.0,1.90
312,100.0,118.37433333333333,137.61766666666668,131.28566666666669,10.0,99.0,NMR
313,90.0,50.67,50.67,158.48,8.0,23.0,1.90
314,120.0,113.228,113.228,55.064,12.0,18.0,1.40
315,90.0,100.38,68.664,106.024,4.0,304.0,2.6
316,90.0,63.093,147.048,151.958,8.0,157.66666666666666,2.5
317,90.0,65.202,65.202,288.765,8.0,108.0,2.60
318,90.0,56.777,233.054,81.899,8.0,241.33333333333334,2.2
319,94.67666666666666,91.25999999999999,118.21633333333334,152.76766666666666,35.333333333333336,432.0,3.1
320,90.0,165.893,188.847,62.437,8.0,65.0,2.3
321,90.06,38.098,41.415,141.064,2.0,105.0,2.6
322,90.0,125.291,125.244,269.511,32.0,105.0,3.2
323,120.0,149.778,149.778,120.888,12.0,23.0,3.0
324,90.0,132.9,89.9,90.0,4.0,213.66666666666666,2.7
325,120.0,171.55,171.55,87.65,6.0,282.0,2.50
326,120.0,171.55,171.55,87.65,6.0,165.66666666666666,2.5
327,120.0,171.8,171.8,86.35,6.0,165.66666666666666,3.10
328,120.0,172.82,172.82,87.91,6.0,165.66666666666666,2.90
329,90.0,234.32,91.84,138.51,8.0,312.0,3.3
330,90.0,95.98,277.05,106.76,8.0,10.0,2.30
331,120.0,98.287,98.287,236.588,6.0,119.0,3.37
332,90.0,181.179,181.179,319.861,16.0,109.0,3.20
333,90.0,112.3,127.6,135.7,8.0,6.0,2.4
334,90.0,107.927,148.945,105.061,8.0,343.0,2.1
335,90.0,117.083,88.086,94.578,4.0,295.0,2.0
336,90.0,117.05,88.459,95.3,4.0,332.0,2.5
337,90.0,126.33333333333333,146.85333333333332,153.07,6.666666666666667,58.0,NMR Structure
338,90.0,194.01,132.97,73.59,8.0,61.0,1.90
339,90.0,164.522,136.452,118.955,8.0,62.0,2.30
340,90.0,86.12,100.13,163.64,4.0,61.0,1.94
341,90.0,183.12,95.28,131.83,8.0,61.0,2.97
342,120.0,99.09,99.09,504.37,12.0,61.0,2.83
343,90.0,157.02,163.4,595.53,32.0,106.0,2.7
344,90.0,78.099,114.217,117.085,4.0,78.0,2.6
345,90.0,75.91,84.54,162.16,4.0,117.33333333333333,2.0
346,90.0,155.07,170.83,232.62,16.0,133.0,3.26
347,90.0,137.451,231.342,121.695,12.0,208.66666666666666,3.6
348,90.0,189.88,128.78,139.15,8.0,15.0,2.77
349,90.0,82.123,82.123,286.225,8.0,368.0,2.73
350,90.0,162.018,90.696,160.279,16.0,108.0,2.30
351,90.0,57.253,74.416,115.529,4.0,70.0,1.90
352,90.0,47.38,73.122,184.84,4.0,71.0,2.90
353,90.0,169.95,169.95,143.02,16.0,13.0,2.46
