,cell_length_c,cell_length_b,cell_length_a,Resolution
82,1.0275764463696018,0.1305854126333541,-0.6090971075335883,2.37
83,1.024763048419608,0.12859588623211032,-0.6085716636429681,2.39
84,1.024763048419608,0.12859588623211032,-0.6085716636429681,2.39
85,1.024763048419608,0.12859588623211032,-0.6085716636429681,2.39
86,1.024763048419608,0.12859588623211032,-0.6085716636429681,2.39
87,-1.0571342797100831,-1.2402668821824427,-1.1391824191874957,1.85
88,-1.1491186687824335,-1.3343691941493299,-0.888341344070913,1.90
89,0.5650298065788912,-1.06463972400366,-1.665210136352726,1.70
90,0.5636917270660894,-1.0640451528952424,-1.6657355802433462,1.90
91,-1.6680190419007594,0.17824257378499264,0.7153426014288794,2.30
92,-0.41451301625423514,-0.8073733790152084,-0.5428036033336859,3.00
93,-0.15458249345970745,-0.903236536187794,-0.665173647193655,2.00
